pc_time_s,t_ms,Bx_raw,By_raw,Bz_raw,T_raw,Bx_mT,By_mT,Bz_mT,Bmag_mT,run_id,step_index,m1_deg,m2_deg,m3_deg,m4_deg
1777615204,132532,31688,37176,65532,17552,-9.8877,40.3564,299.9634,302.8274,20260501_160003,0,0,0,0,0
1777615204,132546,31696,37180,65532,17552,-9.8145,40.3931,299.9634,302.8299,20260501_160003,0,0,0,0,0
1777615204,132560,31696,37180,65532,17552,-9.8145,40.3931,299.9634,302.8299,20260501_160003,0,0,0,0,0
1777615204,132575,31692,37172,65532,17552,-9.8511,40.3198,299.9634,302.8214,20260501_160003,0,0,0,0,0
1777615204,132589,31696,37180,65532,17552,-9.8145,40.3931,299.9634,302.8299,20260501_160003,0,0,0,0,0
1777615204,132603,31696,37176,65532,17552,-9.8145,40.3564,299.9634,302.8251,20260501_160003,0,0,0,0,0
1777615204,132618,31692,37176,65532,17552,-9.8511,40.3564,299.9634,302.8262,20260501_160003,0,0,0,0,0
1777615204,132632,31688,37180,65532,17552,-9.8877,40.3931,299.9634,302.8323,20260501_160003,0,0,0,0,0
1777615204,132646,31696,37180,65532,17552,-9.8145,40.3931,299.9634,302.8299,20260501_160003,0,0,0,0,0
1777615204,132661,31692,37176,65532,17552,-9.8511,40.3564,299.9634,302.8262,20260501_160003,0,0,0,0,0
1777615204,132676,31696,37176,65532,17552,-9.8145,40.3564,299.9634,302.8251,20260501_160003,0,0,0,0,0
1777615204,132690,31692,37176,65532,17552,-9.8511,40.3564,299.9634,302.8262,20260501_160003,0,0,0,0,0
1777615204,132705,31692,37172,65532,17552,-9.8511,40.3198,299.9634,302.8214,20260501_160003,0,0,0,0,0
1777615204,132719,31696,37176,65532,17552,-9.8145,40.3564,299.9634,302.8251,20260501_160003,0,0,0,0,0
1777615204,132733,31696,37172,65532,17552,-9.8145,40.3198,299.9634,302.8202,20260501_160003,0,0,0,0,0
1777615204,132748,31700,37172,65532,17552,-9.7778,40.3198,299.9634,302.819,20260501_160003,0,0,0,0,0
1777615204,132762,31696,37172,65532,17552,-9.8145,40.3198,299.9634,302.8202,20260501_160003,0,0,0,0,0
1777615204,132776,31692,37180,65532,17552,-9.8511,40.3931,299.9634,302.8311,20260501_160003,0,0,0,0,0
1777615204,132791,31696,37176,65532,17552,-9.8145,40.3564,299.9634,302.8251,20260501_160003,0,0,0,0,0
1777615204,132805,31692,37176,65532,17544,-9.8511,40.3564,299.9634,302.8262,20260501_160003,0,0,0,0,0
1777615204,132819,31700,37176,65532,17552,-9.7778,40.3564,299.9634,302.8239,20260501_160003,0,0,0,0,0
1777615204,132834,31692,37184,65532,17552,-9.8511,40.4297,299.9634,302.836,20260501_160003,0,0,0,0,0
1777615204,132848,31700,37180,65532,17552,-9.7778,40.3931,299.9634,302.8287,20260501_160003,0,0,0,0,0
1777615204,132862,31696,37180,65532,17552,-9.8145,40.3931,299.9634,302.8299,20260501_160003,0,0,0,0,0
1777615204,132877,31700,37172,65532,17552,-9.7778,40.3198,299.9634,302.819,20260501_160003,0,0,0,0,0
1777615204,132891,31696,37184,65532,17552,-9.8145,40.4297,299.9634,302.8348,20260501_160003,0,0,0,0,0
1777615204,132905,31696,37180,65532,17544,-9.8145,40.3931,299.9634,302.8299,20260501_160003,0,0,0,0,0
1777615204,132920,31696,37184,65532,17544,-9.8145,40.4297,299.9634,302.8348,20260501_160003,0,0,0,0,0
1777615204,132934,31688,37180,65532,17552,-9.8877,40.3931,299.9634,302.8323,20260501_160003,0,0,0,0,0
1777615204,132948,31696,37172,65532,17544,-9.8145,40.3198,299.9634,302.8202,20260501_160003,0,0,0,0,0
1777615204,132964,31696,37176,65532,17552,-9.8145,40.3564,299.9634,302.8251,20260501_160003,0,0,0,0,0
1777615204,132978,31692,37172,65532,17552,-9.8511,40.3198,299.9634,302.8214,20260501_160003,0,0,0,0,0
